county,total_crashes,truck_crashes,years
Adams,3439,,2020-2024
Allen,62567,,2020-2024
Bartholomew,8040,,2020-2024
Benton,586,,2020-2024
Blackford,1272,,2020-2024
Boone,10760,,2020-2024
Brown,2322,,2020-2024
Carroll,2514,,2020-2024
Cass,5382,,2020-2024
Clark,19463,,2020-2024
Clay,2956,,2020-2024
Clinton,4735,,2020-2024
Crawford,1533,,2020-2024
Daviess,2037,,2020-2024
Dearborn,7114,,2020-2024
Decatur,3643,,2020-2024
Dekalb,6030,,2020-2024
Delaware,17911,,2020-2024
Dubois,6331,,2020-2024
Elkhart,33017,,2020-2024
Fayette,2251,,2020-2024
Floyd,11939,,2020-2024
Fountain,1711,,2020-2024
Franklin,2968,,2020-2024
Fulton,2998,,2020-2024
Gibson,4725,,2020-2024
Grant,10665,,2020-2024
Greene,4214,,2020-2024
Hamilton,18321,,2020-2024
Hancock,9460,,2020-2024
Harrison,5486,,2020-2024
Hendricks,23797,,2020-2024
Henry,4223,,2020-2024
Howard,10780,,2020-2024
Huntington,5721,,2020-2024
Jackson,8937,,2020-2024
Jasper,5956,,2020-2024
Jay,2783,,2020-2024
Jefferson,4042,,2020-2024
Jennings,3209,,2020-2024
Johnson,18450,,2020-2024
Knox,5843,,2020-2024
Kosciusko,9820,,2020-2024
Lagrange,4804,,2020-2024
Lake,83586,,2020-2024
Laporte,16066,,2020-2024
Lawrence,5836,,2020-2024
Madison,15038,,2020-2024
Marion,178022,,2020-2024
Marshall,7654,,2020-2024
Martin,806,,2020-2024
Miami,5100,,2020-2024
Monroe,17392,,2020-2024
Montgomery,4385,,2020-2024
Morgan,7222,,2020-2024
Newton,1939,,2020-2024
Noble,5789,,2020-2024
Ohio,742,,2020-2024
Orange,2038,,2020-2024
Owen,2026,,2020-2024
Parke,1826,,2020-2024
Perry,1451,,2020-2024
Pike,704,,2020-2024
Porter,18669,,2020-2024
Posey,2678,,2020-2024
Pulaski,2099,,2020-2024
Putnam,4556,,2020-2024
Randolph,1980,,2020-2024
Ripley,2677,,2020-2024
Rush,1483,,2020-2024
Scott,2354,,2020-2024
Shelby,6262,,2020-2024
Spencer,3169,,2020-2024
St. Joseph,39117,,2020-2024
Starke,2803,,2020-2024
Steuben,7721,,2020-2024
Sullivan,1786,,2020-2024
Switzerland,984,,2020-2024
Tippecanoe,20243,,2020-2024
Tipton,1744,,2020-2024
Union,426,,2020-2024
Vanderburgh,26730,,2020-2024
Vermillion,1617,,2020-2024
Vigo,13281,,2020-2024
Wabash,4153,,2020-2024
Warren,1125,,2020-2024
Warrick,7639,,2020-2024
Washington,3312,,2020-2024
Wayne,9139,,2020-2024
Wells,2821,,2020-2024
White,4275,,2020-2024
Whitley,3508,,2020-2024
