metro,cluster,monthly_searches,est_cpc,mix
evansville,pre_lawyer_questions,50.0,15.0,0.49524517087667164
evansville,core_auto,800.0,337.77,0.3518573551263002
evansville,commercial_truck,200.0,265.18,0.11203566121842497
evansville,specialty_auto,50.0,337.77,0.02199108469539376
evansville,motorcycle,50.0,392.31,0.01887072808320951
fortwayne,core_auto,2200.0,337.77,0.8491525423728814
fortwayne,commercial_truck,200.0,265.18,0.09830508474576272
fortwayne,motorcycle,100.0,392.31,0.033246414602346806
fortwayne,specialty_auto,50.0,337.77,0.019295958279009127
fortwayne,pre_lawyer_questions,0.0,15.0,0.0
indianapolis,core_auto,3600.0,337.77,0.4533004423273222
indianapolis,pre_lawyer_questions,150.0,15.0,0.4253147329023477
indianapolis,commercial_truck,650.0,265.18,0.10424464103436543
indianapolis,motorcycle,100.0,392.31,0.010845525689009866
indianapolis,specialty_auto,50.0,337.77,0.006294658046954746
lafayette,core_auto,1250.0,337.77,0.469968253968254
lafayette,pre_lawyer_questions,50.0,15.0,0.42323809523809525
lafayette,commercial_truck,150.0,265.18,0.07187301587301587
lafayette,specialty_auto,50.0,337.77,0.018793650793650793
lafayette,motorcycle,50.0,392.31,0.01612698412698413
nwindiana,pre_lawyer_questions,100.0,15.0,0.5118618042226487
nwindiana,core_auto,1750.0,337.77,0.3977735124760077
nwindiana,commercial_truck,200.0,265.18,0.05788867562380039
nwindiana,specialty_auto,100.0,337.77,0.02272552783109405
nwindiana,motorcycle,50.0,392.31,0.009750479846449136
southbend,core_auto,1250.0,337.77,0.4518373824929801
southbend,pre_lawyer_questions,50.0,15.0,0.40691002319619096
southbend,commercial_truck,200.0,265.18,0.0920522524722256
southbend,motorcycle,100.0,392.31,0.031131729947503357
southbend,specialty_auto,50.0,337.77,0.018068611891099987
