rank,county,opportunity_score,weighted_score,injured_patients,serious_cases,dynamic,metro,horizon_weather,wx_conditions,wx_peak,weather_lift,active_events,trailing_weight,incident_boost,learned_adj,risk_score
1,Marion,21945.0,21945.0,11458.7,1289.3,True,indianapolis,50.809576642335756,2h heavy rain,Fri 18:00,1.059,52.1,422.17,1.75,0.857,100.0
2,Allen,5182.0,5182.0,3035.3,121.0,True,fortwayne,50.71147445255473,6h fog,Fri 07:00,1.056,39.7,203.1,1.75,1.046,28.77
3,Lake,3859.3,3859.3,2152.0,224.7,True,nwindiana,50.22586861313867,"2h fog, 1h heavy rain",Fri 08:00,1.046,36.59,308.16,1.75,1.3,26.37
6,St. Joseph,2391.0,2391.0,1280.7,75.3,True,southbend,49.33007299270072,2h rain,Fri 17:00,1.028,31.33,141.35,1.75,1.218,15.03
7,Elkhart,2366.7,2366.7,1319.0,74.0,True,southbend,49.75988321167882,1h fog,Fri 07:00,1.037,26.22,115.36,1.75,1.124,13.85
5,Vanderburgh,2409.7,2409.7,1337.7,76.0,True,evansville,49.185985401459845,clear/dry,Fri 17:00,1.025,6.89,132.28,1.75,1.003,12.44
4,Hamilton,2960.3,2960.3,1772.0,134.3,True,indianapolis,50.23997080291969,"2h heavy rain, 1h fog, 1h rain",Fri 17:00,1.047,37.86,192.77,1.75,0.75,11.67
9,Hendricks,2072.3,2072.3,1223.3,107.3,True,indianapolis,49.014306569343056,clear/dry,Fri 17:00,1.021,17.28,128.82,1.75,1.02,10.84
8,Delaware,2118.7,2118.7,1159.3,115.3,True,other_in,49.18291970802918,1h rain,Fri 17:00,1.025,5.61,49.84,1.75,0.875,9.54
10,Tippecanoe,1842.0,1842.0,993.7,102.3,True,lafayette,49.21112408759123,"1h fog, 1h rain",Fri 17:00,1.025,20.98,107.32,1.75,0.998,9.47
12,Johnson,1611.0,1611.0,894.3,50.7,True,indianapolis,49.014306569343056,clear/dry,Fri 17:00,1.021,13.65,57.78,1.75,1.019,8.42
11,Madison,1773.7,1773.7,1014.3,57.7,True,indianapolis,50.556350364963485,"2h rain, 1h heavy rain",Fri 15:00,1.053,12.11,60.3,1.75,0.877,8.23
13,Porter,1461.3,1461.3,881.3,55.3,True,nwindiana,49.36747445255473,2h fog,Fri 17:00,1.028,10.78,148.23,1.75,1.076,8.12
15,Vigo,1255.7,1255.7,644.3,50.3,True,other_in,49.014306569343056,clear/dry,Fri 17:00,1.021,7.52,63.85,1.75,0.979,6.31
21,Laporte,909.3,909.3,488.0,61.0,True,nwindiana,50.87334306569342,5h fog,Fri 07:00,1.06,11.81,98.1,1.75,1.265,6.12
14,Hancock,1439.0,1439.0,850.3,71.7,True,indianapolis,49.88925547445255,2h heavy rain,Fri 17:00,1.039,6.13,56.4,1.75,0.772,5.8
22,Monroe,837.7,837.7,407.7,69.7,True,other_in,49.67343065693429,3h rain,Fri 16:00,1.035,15.91,147.69,1.75,1.3,5.66
19,Boone,981.3,981.3,603.3,29.7,True,indianapolis,50.58639416058393,"1h fog, 1h rain, 1h heavy rain",Fri 21:00,1.054,12.71,75.53,1.75,0.997,5.18
18,Kosciusko,984.0,984.0,583.0,40.0,True,southbend,49.014306569343056,clear/dry,Fri 17:00,1.021,4.11,99.65,1.75,0.951,4.8
16,Bartholomew,1137.0,1137.0,673.3,52.0,True,other_in,49.014306569343056,clear/dry,Fri 17:00,1.021,1.54,29.01,1.75,0.801,4.67
17,Howard,1053.7,1053.7,624.3,40.3,True,other_in,49.24423357664232,2h rain,Fri 17:00,1.026,2.65,5.11,1.520655,0.963,4.54
23,Wayne,832.0,832.0,457.7,32.0,True,other_in,49.47661313868612,1h heavy rain,Fri 17:00,1.031,9.87,36.71,1.75,0.998,4.3
20,Morgan,977.3,977.3,543.7,60.7,True,indianapolis,50.04437956204379,1h heavy rain,Fri 17:00,1.043,4.3,33.04,1.75,0.818,4.19
30,Grant,596.7,596.7,316.0,37.3,True,other_in,49.553868613138675,1h heavy rain,Fri 17:00,1.032,6.5,12.72,1.75,1.273,3.94
32,Jackson,576.7,576.7,320.0,36.7,True,other_in,49.014306569343056,clear/dry,Fri 17:00,1.021,3.03,23.39,1.75,1.185,3.51
33,Warrick,567.0,567.0,342.0,4.3,True,evansville,50.691854014598526,3h fog,Fri 07:00,1.056,3.68,17.26,1.75,1.105,3.32
29,Dekalb,614.0,614.0,386.3,4.3,True,fortwayne,51.93284671532845,9h fog,Fri 07:00,1.082,3.0,11.91,1.75,0.943,3.15
37,Marshall,535.3,535.3,306.0,18.7,True,southbend,49.442277372262765,"1h heavy rain, 1h fog",Fri 17:00,1.03,2.11,11.68,1.75,1.138,3.15
44,Floyd,464.3,464.3,273.0,15.0,True,other_in,49.014306569343056,clear/dry,Fri 17:00,1.021,5.42,23.5,1.75,1.3,3.1
31,Shelby,594.0,594.0,381.7,20.0,True,indianapolis,50.022919708029185,3h rain,Fri 16:00,1.042,4.1,16.47,1.75,0.977,3.04
39,Dearborn,520.3,520.3,280.3,29.3,True,other_in,49.921751824817505,"2h rain, 1h heavy rain",Fri 17:00,1.04,4.49,18.08,1.75,1.113,3.03
24,Harrison,705.0,705.0,460.0,11.7,True,other_in,49.014306569343056,clear/dry,Fri 17:00,1.021,3.44,7.31,1.70906,0.84,2.97
27,Noble,629.0,629.0,397.3,3.0,True,fortwayne,49.10627737226276,1h rain,Fri 17:00,1.023,3.69,13.78,1.75,0.913,2.95
47,Clark,439.0,439.0,248.7,9.3,True,other_in,49.014306569343056,clear/dry,Fri 17:00,1.021,10.12,51.94,1.75,1.3,2.93
26,Cass,637.3,637.3,375.3,32.3,True,other_in,49.15226277372262,1h rain,Fri 17:00,1.024,4.4,30.06,1.75,0.875,2.87
38,Dubois,528.0,528.0,341.7,11.3,True,other_in,49.014306569343056,clear/dry,Fri 17:00,1.021,1.45,58.09,1.75,1.042,2.82
43,Jasper,484.7,484.7,272.7,32.0,True,nwindiana,51.63363503649634,8h fog,Fri 07:00,1.076,3.69,7.53,1.745265,1.055,2.76
28,Gibson,625.7,625.7,437.7,4.0,True,evansville,50.5545109489051,"2h fog, 1h rain",Fri 15:00,1.053,2.64,9.46,1.73719,0.827,2.72
41,Huntington,512.7,512.7,318.7,4.7,True,fortwayne,49.573489051094874,"2h fog, 1h rain",Fri 15:00,1.033,4.68,46.68,1.75,1.006,2.68
25,Henry,658.7,658.7,376.3,38.7,True,other_in,50.071970802919694,3h rain,Fri 16:00,1.043,5.6,28.06,1.75,0.762,2.63
49,Knox,413.0,413.0,207.7,27.7,True,other_in,49.13693430656933,1h fog,Fri 17:00,1.024,3.03,13.65,1.75,1.132,2.4
35,Putnam,558.7,558.7,361.3,19.7,True,other_in,49.014306569343056,clear/dry,Fri 17:00,1.021,2.69,7.01,1.62004,0.86,2.28
53,Miami,371.3,371.3,210.0,32.0,True,other_in,49.28408759124087,1h rain,Fri 17:00,1.027,3.2,16.65,1.75,1.116,2.14
46,White,448.3,448.3,235.7,29.7,True,lafayette,49.014306569343056,clear/dry,Fri 17:00,1.021,7.17,22.29,1.75,0.93,2.14
40,Whitley,518.7,518.7,349.0,1.0,True,fortwayne,49.22890510948904,1h rain,Fri 17:00,1.026,2.26,11.45,1.75,0.783,2.09
34,Lagrange,565.7,565.7,349.0,15.0,True,southbend,49.16513868613137,"1h fog, 1h rain",Fri 17:00,1.024,1.46,4.95,1.393925,0.877,2.03
51,Greene,403.0,403.0,217.3,20.3,True,other_in,49.014306569343056,clear/dry,Fri 17:00,1.021,5.27,21.81,1.75,0.974,2.01
52,Wabash,377.7,377.7,222.7,17.7,True,other_in,49.26937226277371,3h fog,Fri 17:00,1.026,5.46,8.6,1.75,0.998,1.94
36,Clinton,550.7,550.7,311.0,35.3,True,lafayette,49.45576642335765,1h heavy rain,Fri 17:00,1.03,2.44,1.9,1.339115,0.883,1.93
50,Lawrence,410.0,410.0,203.0,36.0,True,other_in,49.014306569343056,clear/dry,Fri 17:00,1.021,2.28,3.42,1.3990850000000001,1.136,1.91
54,Montgomery,338.7,338.7,183.7,19.0,True,other_in,49.014306569343056,clear/dry,Fri 17:00,1.021,6.41,44.98,1.75,1.083,1.88
45,Daviess,460.7,460.7,305.3,1.7,True,other_in,49.65197080291969,1h fog,Fri 06:00,1.034,0.66,9.94,1.56297,0.75,1.6
60,Adams,271.7,271.7,147.0,17.3,True,other_in,49.704087591240864,3h rain,Fri 16:00,1.036,1.46,11.81,1.7366450000000002,1.071,1.5
42,Scott,488.7,488.7,258.0,39.7,True,other_in,49.014306569343056,clear/dry,Fri 17:00,1.021,0.14,5.63,1.295005,0.75,1.39
62,Franklin,261.0,261.0,145.0,22.0,True,other_in,50.09956204379561,2h rain,Fri 17:00,1.044,3.58,31.04,1.75,1.015,1.39
55,Steuben,315.3,315.3,177.0,21.0,True,other_in,50.26020437956203,6h fog,Fri 06:00,1.047,0.27,1.89,1.121335,1.3,1.38
59,Wells,277.0,277.0,175.3,9.3,True,fortwayne,49.13202919708028,2h fog,Fri 17:00,1.024,2.29,21.49,1.75,0.961,1.37
66,Jennings,223.0,223.0,126.0,18.3,True,other_in,50.78664525547444,"1h heavy rain, 1h rain",Sat 18:00,1.058,3.44,31.3,1.75,1.142,1.35
64,Fulton,250.3,250.3,147.0,10.7,True,other_in,49.26937226277371,3h fog,Fri 17:00,1.026,1.49,12.19,1.75,1.042,1.34
48,Ripley,419.3,419.3,261.7,17.7,True,other_in,49.89232116788321,2h rain,Fri 17:00,1.039,1.53,4.33,1.369215,0.761,1.3
63,Spencer,251.0,251.0,153.3,9.7,True,other_in,49.014306569343056,clear/dry,Fri 17:00,1.021,2.54,6.18,1.562815,1.07,1.23
61,Jefferson,265.7,265.7,142.3,24.0,True,other_in,49.014306569343056,clear/dry,Fri 17:00,1.021,1.78,3.16,1.336225,1.174,1.22
56,Fountain,313.0,313.0,175.0,21.3,True,other_in,49.07316788321167,1h fog,Fri 17:00,1.022,0.7,13.8,1.75,0.75,1.21
67,Posey,222.3,222.3,128.0,9.0,True,evansville,49.6519708029197,clear/dry,Fri 07:00,1.034,5.09,19.06,1.75,1.045,1.21
57,Washington,304.0,304.0,161.0,31.7,True,other_in,49.014306569343056,clear/dry,Fri 17:00,1.021,1.06,3.51,1.281745,0.994,1.14
68,Jay,214.3,214.3,129.0,6.7,True,other_in,51.743509489051085,2h heavy rain,Fri 17:00,1.078,0.04,9.37,1.4726650000000001,1.085,1.06
77,Carroll,171.3,171.3,105.3,11.3,True,lafayette,49.345401459854,1h rain,Fri 17:00,1.028,8.38,1.48,1.75,1.153,1.02
72,Pulaski,188.3,188.3,98.3,18.0,True,other_in,49.13693430656933,1h fog,Fri 17:00,1.024,1.07,12.84,1.7490700000000001,1.005,0.97
69,Parke,208.0,208.0,120.0,11.0,True,other_in,49.205605839416044,3h fog,Fri 17:00,1.025,1.93,12.94,1.75,0.892,0.96
58,Randolph,283.0,283.0,152.7,18.3,True,other_in,51.463918248175176,2h heavy rain,Fri 17:00,1.072,0.14,6.88,1.358355,0.796,0.94
73,Clay,187.7,187.7,102.7,15.7,True,other_in,49.014306569343056,clear/dry,Fri 17:00,1.021,3.06,2.55,1.432835,1.195,0.94
70,Sullivan,204.7,204.7,107.0,9.3,True,other_in,49.014306569343056,clear/dry,Fri 17:00,1.021,2.89,9.91,1.75,0.889,0.93
71,Vermillion,200.3,200.3,107.7,13.7,True,other_in,51.021109489051085,"6h fog, 1h rain",Fri 07:00,1.063,2.45,14.44,1.75,0.855,0.91
80,Starke,124.7,124.7,70.0,8.3,True,other_in,50.85372262773721,"3h fog, 1h heavy rain",Fri 17:00,1.059,1.94,10.91,1.7398449999999999,1.3,0.86
79,Orange,145.0,145.0,72.3,13.7,True,other_in,49.014306569343056,clear/dry,Fri 17:00,1.021,3.69,19.94,1.75,1.129,0.84
82,Decatur,121.7,121.7,69.0,9.0,True,other_in,49.230744525547436,1h rain,Fri 17:00,1.026,1.94,14.37,1.75,1.3,0.82
65,Owen,246.0,246.0,143.7,20.0,True,other_in,49.382189781021886,1h rain,Fri 17:00,1.029,0.38,4.94,1.2852100000000002,0.864,0.81
76,Fayette,171.7,171.7,83.3,11.0,True,other_in,49.52934306569342,1h rain,Fri 17:00,1.032,2.19,3.44,1.3909850000000001,1.09,0.77
75,Rush,183.3,183.3,92.7,20.3,True,other_in,51.43988321167881,"2h heavy rain, 1h rain",Fri 16:00,1.072,1.93,2.44,1.314745,0.856,0.63
74,Tipton,184.3,184.3,103.7,6.7,True,other_in,49.281021897810206,1h heavy rain,Fri 17:00,1.027,0.54,0.03,1.055335,0.926,0.53
81,Brown,123.3,123.3,63.3,11.3,True,other_in,49.014306569343056,clear/dry,Fri 17:00,1.021,0.42,0.18,1.05074,1.3,0.49
89,Perry,78.3,78.3,42.7,4.7,True,other_in,49.014306569343056,clear/dry,Fri 17:00,1.021,4.53,3.94,1.650405,1.296,0.49
83,Newton,101.7,101.7,57.7,4.0,True,nwindiana,50.12776642335765,5h fog,Fri 08:00,1.044,0.5,1.83,1.141915,1.3,0.45
84,Pike,101.0,101.0,67.0,0.7,True,other_in,51.319708029197066,4h fog,Fri 07:00,1.069,3.56,3.69,1.540775,0.795,0.38
78,Martin,147.3,147.3,83.0,7.7,True,other_in,49.52934306569342,1h rain,Fri 17:00,1.032,1.11,0.59,1.139995,0.75,0.37
86,Crawford,89.7,89.7,43.7,5.0,True,other_in,49.014306569343056,clear/dry,Fri 17:00,1.021,0.1,0.55,1.037345,1.245,0.34
87,Warren,88.3,88.3,47.7,9.3,True,other_in,49.24178102189779,"1h fog, 1h rain",Fri 17:00,1.026,0.57,0.43,1.078375,1.075,0.3
88,Switzerland,88.0,88.0,44.0,8.3,True,other_in,49.014306569343056,clear/dry,Fri 17:00,1.021,0.33,0.14,1.0399399999999999,1.007,0.27
90,Union,59.3,59.3,32.7,3.3,True,other_in,49.09094890510948,1h rain,Fri 17:00,1.023,3.7,10.73,1.75,0.807,0.25
85,Benton,99.3,99.3,55.3,4.7,True,other_in,49.07316788321167,1h fog,Fri 17:00,1.022,0.08,0.43,1.029895,0.75,0.23
91,Ohio,45.7,45.7,23.3,4.3,True,other_in,49.06029197080291,1h rain,Fri 17:00,1.022,0.06,0.21,1.016,1.213,0.17
92,Blackford,39.3,39.3,18.7,4.3,True,other_in,49.69795620437955,2h rain,Fri 17:00,1.035,1.15,0.32,1.13063,1.3,0.17
