county,metro,risk_score,weather_lift,active_events,trailing_weight,within_plan_weight,ads_location
Marion,indianapolis,100.0,1.042,48.55,367.13,0.404,"Marion County, Indiana"
Allen,fortwayne,20.5,1.077,33.15,134.72,0.083,"Allen County, Indiana"
Lake,nwindiana,17.04,1.045,39.45,284.11,0.069,"Lake County, Indiana"
Hamilton,indianapolis,11.49,1.05,38.7,121.93,0.046,"Hamilton County, Indiana"
Elkhart,southbend,10.7,1.034,20.4,63.55,0.043,"Elkhart County, Indiana"
St. Joseph,southbend,8.3,1.017,26.55,96.83,0.034,"St. Joseph County, Indiana"
Tippecanoe,lafayette,7.78,1.025,19.8,98.1,0.031,"Tippecanoe County, Indiana"
Hendricks,indianapolis,6.92,1.028,19.35,93.87,0.028,"Hendricks County, Indiana"
Vanderburgh,evansville,5.09,1.021,11.25,35.61,0.021,"Vanderburgh County, Indiana"
Bartholomew,other_in,4.82,1.029,1.65,55.13,0.019,"Bartholomew County, Indiana"
Johnson,indianapolis,4.67,1.021,16.05,36.78,0.019,"Johnson County, Indiana"
Delaware,other_in,4.46,1.071,7.5,47.56,0.018,"Delaware County, Indiana"
Madison,indianapolis,3.98,1.054,10.8,31.14,0.016,"Madison County, Indiana"
Porter,nwindiana,3.94,1.023,8.55,62.21,0.016,"Porter County, Indiana"
Kosciusko,southbend,3.83,1.036,3.75,35.95,0.015,"Kosciusko County, Indiana"
Hancock,indianapolis,3.01,1.063,4.65,34.61,0.012,"Hancock County, Indiana"
Monroe,other_in,2.97,1.021,9.75,161.98,0.012,"Monroe County, Indiana"
Noble,fortwayne,2.85,1.042,4.35,16.29,0.012,"Noble County, Indiana"
Cass,other_in,2.74,1.032,4.5,23.79,0.011,"Cass County, Indiana"
Vigo,other_in,2.71,1.015,7.2,39.81,0.011,"Vigo County, Indiana"
Boone,indianapolis,2.7,1.053,14.55,54.14,0.011,"Boone County, Indiana"
Lagrange,southbend,2.38,1.031,0.15,12.39,0.01,"Lagrange County, Indiana"
Laporte,nwindiana,2.12,1.016,13.05,83.49,0.009,"Laporte County, Indiana"
Marshall,southbend,2.11,1.039,1.95,7.2,0.009,"Marshall County, Indiana"
Jackson,other_in,2.03,1.029,2.1,8.15,0.008,"Jackson County, Indiana"
Wayne,other_in,2.02,1.03,9.25,6.83,0.008,"Wayne County, Indiana"
Morgan,indianapolis,1.62,1.021,4.65,18.39,0.007,"Morgan County, Indiana"
Clinton,lafayette,1.6,1.047,2.25,2.06,0.006,"Clinton County, Indiana"
Dubois,other_in,1.55,1.027,12.75,49.14,0.006,"Dubois County, Indiana"
Howard,other_in,1.53,1.035,1.35,4.16,0.006,"Howard County, Indiana"
