lat,lon,lit
41.72961,-84.97048,0
41.72888,-84.96977,0
41.72814,-84.96908,0
41.7274,-84.96839,0
41.72666,-84.9677,0
41.72592,-84.96702,0
41.72519,-84.96633,0
41.72445,-84.96564,0
41.72371,-84.96495,0
41.72297,-84.96426,0
41.72224,-84.96357,0
41.7215,-84.96288,0
41.72076,-84.96219,0
41.72005,-84.96145,0
41.71938,-84.96065,0
41.71877,-84.95976,0
41.71823,-84.9588,0
41.71774,-84.95779,0
41.71729,-84.95675,0
41.71686,-84.95569,0
41.71643,-84.95464,0
41.71599,-84.95358,0
41.71555,-84.95253,0
41.71511,-84.95148,0
41.71468,-84.95043,0
41.71423,-84.94938,0
41.71379,-84.94833,0
41.71336,-84.94727,0
41.71293,-84.94621,0
41.12049,-85.05947,1
41.12055,-85.05828,1
41.1206,-85.05709,1
41.12065,-85.0559,1
41.1207,-85.05471,1
41.12074,-85.05351,1
41.12079,-85.05232,1
41.12083,-85.05113,1
41.12087,-85.04994,1
41.02948,-85.14715,0
41.03025,-85.14653,0
41.03092,-85.14575,0
41.03136,-85.14472,0
41.03152,-85.14355,0
41.04546,-85.1323,1
41.03158,-85.13656,1
41.03157,-85.13775,1
41.03156,-85.13894,1
41.03154,-85.14013,1
41.03152,-85.14133,1
41.03152,-85.14252,1
41.07646,-85.14412,1
41.07628,-85.14529,1
41.07348,-85.09089,1
41.07361,-85.09207,1
41.07379,-85.09324,1
41.07402,-85.09439,1
41.0743,-85.09553,1
41.12564,-85.28457,0
41.125,-85.28378,0
41.12455,-85.28275,0
41.1241,-85.28172,0
41.12365,-85.28068,0
41.12323,-85.27963,0
41.12289,-85.27852,0
41.12257,-85.27741,0
41.12228,-85.27628,0
41.12198,-85.27515,0
41.12169,-85.27402,0
41.12141,-85.27289,0
41.12112,-85.27176,0
41.12083,-85.27063,0
41.12054,-85.2695,0
41.12025,-85.26837,0
41.11997,-85.26723,0
41.11967,-85.26611,0
41.11939,-85.26498,0
41.1191,-85.26385,0
41.11881,-85.26271,0
41.11852,-85.26158,0
41.11827,-85.26044,0
41.11817,-85.25925,0
41.11817,-85.25806,0
41.11818,-85.25687,0
41.11818,-85.25567,0
41.11818,-85.25448,0
41.11818,-85.25328,0
41.11819,-85.25209,0
41.1182,-85.2509,0
41.1182,-85.2497,0
41.11821,-85.24851,0
41.11821,-85.24732,0
41.11822,-85.24612,0
41.03158,-85.13656,1
41.03159,-85.13537,1
41.03161,-85.13417,1
41.03162,-85.13298,1
39.97839,-86.12705,1
39.97838,-86.12823,1
39.97836,-86.1294,1
39.97834,-86.13058,1
39.97842,-86.12328,1
39.97841,-86.12446,1
39.9784,-86.12563,1
39.97839,-86.1268,1
39.9269,-86.1306,1
39.92722,-86.1317,1
39.92754,-86.1328,1
39.92786,-86.13389,1
39.92818,-86.13499,1
39.9285,-86.13608,1
39.92881,-86.13718,1
39.92913,-86.13828,1
39.92945,-86.13937,1
39.92976,-86.14048,1
39.93001,-86.1416,1
39.93022,-86.14274,1
39.93037,-86.1439,1
39.93048,-86.14506,1
41.66943,-86.77763,0
41.67015,-86.77836,0
41.67086,-86.77909,0
41.67157,-86.77983,0
41.67229,-86.78056,0
41.673,-86.78129,0
41.67371,-86.78202,0
41.67443,-86.78276,0
41.67514,-86.78349,0
41.67586,-86.78422,0
41.67657,-86.78495,0
41.67729,-86.78568,0
41.678,-86.78642,0
41.67871,-86.78715,0
41.67943,-86.78788,0
41.6574,-86.7654,0
41.65815,-86.76606,0
41.65881,-86.76688,0
41.65945,-86.76772,0
41.66009,-86.76857,0
41.66072,-86.76942,0
41.66137,-86.77026,0
41.66211,-86.77092,0
41.6629,-86.7715,0
41.6637,-86.77207,0
41.66449,-86.77264,0
41.66525,-86.77328,0
41.66596,-86.77402,0
41.66667,-86.77475,0
41.66738,-86.77549,0
41.66809,-86.77623,0
41.6688,-86.77696,0
41.60675,-86.7188,1
41.60749,-86.71949,1
41.60823,-86.72018,1
41.59115,-86.75195,0
41.61496,-86.73028,1
41.61063,-86.72239,1
41.61138,-86.723,1
41.60062,-86.73733,1
41.60085,-86.73617,1
41.60089,-86.73497,1
41.60087,-86.73377,1
41.64479,-86.74951,0
41.64539,-86.75039,0
41.646,-86.75128,0
41.64661,-86.75216,0
41.64722,-86.75305,0
41.64783,-86.75394,0
41.64844,-86.75482,0
41.64905,-86.75571,0
41.64965,-86.75661,0
41.65017,-86.75758,0
41.65065,-86.7586,0
41.65111,-86.75963,0
41.65164,-86.76061,0
41.65232,-86.76138,0
41.65309,-86.762,0
41.65387,-86.76262,0
41.67412,-86.84589,0
41.67327,-86.84548,0
41.67243,-86.84507,0
41.67163,-86.84453,0
41.67089,-86.84383,0
41.6702,-86.84307,0
41.6696,-86.84218,0
41.66904,-86.84124,0
41.66848,-86.8403,0
41.66792,-86.83936,0
41.66736,-86.83842,0
41.6668,-86.83747,0
41.66624,-86.83653,0
41.66568,-86.83559,0
41.66511,-86.83465,0
41.66455,-86.83371,0
41.66399,-86.83277,0
41.66342,-86.83184,0
41.66286,-86.8309,0
41.6623,-86.82996,0
41.66175,-86.829,0
41.66119,-86.82806,0
41.66063,-86.82711,0
41.66016,-86.8261,0
41.65975,-86.82503,0
41.65934,-86.82395,0
41.65893,-86.82288,0
41.65853,-86.8218,0
41.65811,-86.82074,0
41.65746,-86.81992,0
41.65673,-86.8192,0
41.65601,-86.81849,0
41.65528,-86.81778,0
41.65458,-86.81703,0
41.65393,-86.8162,0
41.65332,-86.81532,0
41.6527,-86.81445,0
41.65208,-86.81357,0
41.65147,-86.81269,0
41.65085,-86.81182,0
41.65023,-86.81095,0
41.64961,-86.81008,0
41.64898,-86.80921,0
41.64844,-86.80826,0
41.64792,-86.80727,0
41.64739,-86.8063,0
41.64686,-86.80533,0
41.64633,-86.80435,0
41.6458,-86.80338,0
41.64527,-86.80241,0
41.64474,-86.80144,0
41.64419,-86.80049,0
41.64364,-86.79954,0
41.64332,-86.79842,0
41.64323,-86.79722,0
41.64317,-86.79602,0
41.6431,-86.79482,0
41.64304,-86.79362,0
41.64297,-86.79242,0
41.64291,-86.79122,0
41.64284,-86.79002,0
41.64278,-86.78882,0
41.64272,-86.78762,0
41.64265,-86.78642,0
41.64259,-86.78522,0
41.64252,-86.78402,0
41.64246,-86.78282,0
41.64239,-86.78162,0
41.64232,-86.78042,0
41.56292,-86.86736,0
41.56293,-86.86616,0
41.56294,-86.86496,0
41.56296,-86.86376,0
41.56298,-86.86255,0
41.563,-86.86135,0
41.56302,-86.86015,0
41.56305,-86.85895,0
41.56315,-86.85776,0
41.56358,-86.85671,0
41.56411,-86.85574,0
41.56463,-86.85476,0
41.56516,-86.85378,0
41.56568,-86.85281,0
41.5662,-86.85183,0
41.56673,-86.85086,0
41.56725,-86.84988,0
41.56778,-86.8489,0
41.5683,-86.84793,0
41.56883,-86.84695,0
41.56935,-86.84597,0
41.56987,-86.84499,0
41.57039,-86.84401,0
41.57092,-86.84304,0
41.57144,-86.84206,0
41.57196,-86.84108,0
41.57248,-86.8401,0
41.573,-86.83911,0
41.57351,-86.83812,0
41.57401,-86.83713,0
41.57452,-86.83614,0
41.57505,-86.83516,0
41.57557,-86.83418,0
41.57609,-86.8332,0
41.57661,-86.83222,0
41.57713,-86.83124,0
41.57765,-86.83026,0
41.57818,-86.82928,0
41.5787,-86.82831,0
41.5793,-86.82741,0
41.57991,-86.82653,0
41.58053,-86.82566,0
41.58114,-86.82478,0
41.58179,-86.82394,0
41.58246,-86.82315,0
41.58314,-86.82236,0
41.58382,-86.82157,0
41.5845,-86.82078,0
41.58518,-86.81999,0
41.58585,-86.81919,0
41.58651,-86.81838,0
41.58717,-86.81756,0
41.58783,-86.81674,0
41.58845,-86.81587,0
41.58897,-86.81489,0
41.58935,-86.81381,0
41.58969,-86.81269,0
41.59003,-86.81158,0
41.59037,-86.81046,0
41.5907,-86.80935,0
41.59104,-86.80824,0
41.59138,-86.80712,0
41.59163,-86.80597,0
41.59173,-86.80477,0
41.59171,-86.80357,0
41.59166,-86.80237,0
41.59161,-86.80117,0
41.59157,-86.79997,0
41.59152,-86.79877,0
41.5915,-86.79757,0
41.59149,-86.79636,0
41.59148,-86.79516,0
41.59148,-86.79396,0
41.59147,-86.79276,0
41.59147,-86.79155,0
41.59146,-86.79035,0
41.59146,-86.78915,0
41.59145,-86.78795,0
41.59146,-86.78674,0
41.59146,-86.78554,0
41.59147,-86.78434,0
41.59147,-86.78314,0
41.59146,-86.78193,0
41.59146,-86.78073,0
41.59145,-86.77953,0
41.59145,-86.77833,0
41.59144,-86.77713,0
41.59144,-86.77592,0
41.59143,-86.77472,0
41.59142,-86.77352,0
41.59142,-86.77232,0
41.59141,-86.77111,0
41.59141,-86.76991,0
41.5914,-86.76871,0
41.5914,-86.76751,0
41.59139,-86.7663,0
41.59139,-86.7651,0
41.59138,-86.7639,0
41.59138,-86.7627,0
41.59137,-86.76149,0
41.59137,-86.76029,0
41.59136,-86.75909,0
41.59135,-86.75789,0
41.59131,-86.75668,0
41.59127,-86.75548,0
41.59122,-86.75428,0
41.59118,-86.75308,0
41.59391,-86.74702,0
41.59456,-86.74619,0
41.59522,-86.74537,0
41.59589,-86.74457,0
41.59651,-86.7437,0
41.59709,-86.74279,0
41.59767,-86.74187,0
41.59826,-86.74095,0
41.5989,-86.74012,0
41.59957,-86.73932,0
41.60335,-86.71043,1
41.60387,-86.71141,1
41.60439,-86.71239,1
41.60492,-86.71336,1
41.60544,-86.71434,1
41.60606,-86.71519,1
41.60681,-86.71587,1
41.60754,-86.71656,1
41.61504,-86.71387,1
41.61548,-86.71282,1
41.6159,-86.71176,1
41.61632,-86.71069,1
41.61674,-86.70963,1
41.6326,-86.74019,1
41.55172,-86.897,0
41.55262,-86.89698,0
41.55352,-86.89697,0
41.55442,-86.89695,0
41.55532,-86.89694,0
41.55622,-86.89694,0
41.55711,-86.89694,0
41.55801,-86.89694,0
41.55891,-86.89693,0
41.55981,-86.89693,0
41.56071,-86.89692,0
41.56161,-86.89691,0
41.56251,-86.89691,0
41.34355,-86.30952,1
41.34346,-86.31071,1
41.34337,-86.31191,1
41.34327,-86.3131,1
41.34318,-86.31429,1
41.34316,-86.31549,1
41.34314,-86.31668,1
41.34313,-86.31788,1
41.34313,-86.31908,1
41.34312,-86.32028,1
41.34311,-86.32148,1
41.3431,-86.32267,1
41.34305,-86.32387,1
40.75373,-86.06905,1
40.75373,-86.06905,1
39.1666,-86.53489,1
39.1657,-86.53489,1
39.77547,-86.15596,1
39.77457,-86.15599,1
39.77551,-86.15776,1
39.77548,-86.15659,1
39.92689,-86.1315,1
39.92657,-86.13041,1
39.92625,-86.12931,1
39.92593,-86.12822,1
39.92561,-86.12712,1
39.92529,-86.12602,1
39.92497,-86.12493,1
39.92465,-86.12383,1
39.92433,-86.12274,1
39.924,-86.12164,1
39.92368,-86.12055,1
39.92142,-86.11188,1
39.76996,-86.1598,1
39.76999,-86.16097,1
39.78114,-86.15941,1
39.78178,-86.16018,1
39.78225,-86.16109,1
41.49996,-87.06598,0
39.86252,-86.15784,1
39.8622,-86.15893,1
39.88371,-86.15878,0
39.88433,-86.15963,0
39.885,-86.16041,0
39.88571,-86.16113,0
39.88639,-86.16189,0
41.70731,-85.008,0
41.7079,-85.00891,0
41.70812,-85.01006,0
37.97714,-87.5756,1
37.97633,-87.57527,1
37.97557,-87.57466,1
37.97748,-87.57569,1
37.97761,-87.57682,1
37.97765,-87.57796,1
37.97767,-87.5791,1
37.97769,-87.58024,1
37.9702,-87.57613,1
37.9707,-87.57517,1
37.97118,-87.57421,1
37.97672,-87.47417,1
37.97582,-87.47419,1
37.97493,-87.4742,1
37.97695,-87.56114,1
37.97694,-87.56,1
37.97681,-87.46276,1
37.9768,-87.46391,1
37.97679,-87.46505,1
37.97678,-87.46619,1
37.97677,-87.46733,1
37.97676,-87.46847,1
37.97675,-87.46961,1
37.97675,-87.47075,1
37.97674,-87.47189,1
37.97673,-87.47303,1
39.82965,-84.88044,1
39.829,-84.89034,1
39.82905,-84.89156,1
39.82815,-84.89158,1
39.831,-84.85153,1
39.83102,-84.85036,1
39.83103,-84.84918,1
39.83105,-84.84801,1
39.83106,-84.84684,1
39.83108,-84.84567,1
39.83109,-84.8445,1
39.8311,-84.84333,1
39.83112,-84.84216,1
39.83113,-84.84099,1
39.83115,-84.83982,1
39.83116,-84.83865,1
39.83063,-84.89616,1
39.83035,-84.89724,1
39.82949,-84.89749,1
39.82909,-84.89754,1
39.77551,-86.15776,1
39.77641,-86.15773,1
39.77731,-86.15769,1
39.88242,-86.22452,0
39.88241,-86.22569,0
39.8824,-86.22686,0
39.8824,-86.22803,0
39.88239,-86.2292,0
39.88238,-86.23038,0
41.62863,-84.80571,0
41.62847,-84.8069,0
41.6283,-84.80808,0
41.62819,-84.80927,0
41.62818,-84.81047,0
41.62826,-84.81167,0
41.62844,-84.81285,0
41.6287,-84.814,0
41.62906,-84.8151,0
41.6295,-84.81615,0
41.63003,-84.81712,0
41.61343,-86.72687,1
41.61371,-86.72801,1
41.61174,-86.72335,1
41.6124,-86.72417,1
41.61293,-86.72514,1
41.6133,-86.72623,1
39.03156,-85.89498,0
39.03223,-85.89576,0
39.03289,-85.89654,0
39.03105,-85.89442,0
37.97783,-87.59233,1
37.97786,-87.59119,1
37.97789,-87.59005,1
37.97788,-87.58891,1
37.97786,-87.58777,1
37.97784,-87.58663,1
37.97795,-87.58584,1
37.97797,-87.58698,1
37.97798,-87.58812,1
37.978,-87.58926,1
37.978,-87.5904,1
37.97797,-87.59154,1
37.97779,-87.58479,1
37.97767,-87.58366,1
37.97758,-87.58252,1
37.97795,-87.59232,1
37.97793,-87.59346,1
37.97732,-87.57572,1
37.97721,-87.57459,1
37.97699,-87.52949,1
37.97699,-87.53063,1
37.97699,-87.53177,1
37.977,-87.53291,1
37.977,-87.53405,1
37.977,-87.53519,1
37.977,-87.53633,1
37.977,-87.53748,1
37.97701,-87.53862,1
37.97701,-87.53976,1
37.97701,-87.5409,1
37.97699,-87.52915,1
37.97685,-87.52952,1
37.97694,-87.51999,1
37.97679,-87.52002,1
37.97679,-87.51888,1
37.97678,-87.51774,1
37.97677,-87.5166,1
37.97677,-87.51546,1
37.97676,-87.51432,1
37.97694,-87.52044,1
37.97695,-87.52158,1
37.97696,-87.52272,1
37.97697,-87.52387,1
37.97698,-87.52501,1
37.97297,-87.5707,1
37.97372,-87.57131,1
37.92003,-87.27089,0
37.9196,-87.26989,0
37.91918,-87.26888,0
37.91875,-87.26788,0
37.91833,-87.26687,0
37.91791,-87.26586,0
37.91749,-87.26485,0
37.91708,-87.26384,0
37.91668,-87.26282,0
37.91628,-87.2618,0
37.91588,-87.26078,0
37.91547,-87.25976,0
37.91507,-87.25874,0
37.91466,-87.25772,0
37.91426,-87.2567,0
37.91387,-87.25568,0
37.91347,-87.25466,0
37.91307,-87.25364,0
37.91267,-87.25261,0
37.91227,-87.25159,0
37.91187,-87.25057,0
37.91148,-87.24955,0
37.91108,-87.24852,0
37.91068,-87.2475,0
37.91027,-87.24649,0
