county,time,precip_mm,snowfall_cm,wind_gusts_kmh,visibility_m,weather_code,freezing
Gibson,2026-08-05T00:00,0.0,0.0,3.6,17200,0,0
Gibson,2026-08-05T01:00,0.0,0.0,3.6,14900,0,0
Gibson,2026-08-05T02:00,0.0,0.0,1.8,15900,0,0
Gibson,2026-08-05T03:00,0.0,0.0,2.5,14700,0,0
Gibson,2026-08-05T04:00,0.0,0.0,5.8,15500,0,0
Gibson,2026-08-05T05:00,0.0,0.0,3.6,14100,0,0
Gibson,2026-08-05T06:00,0.0,0.0,1.4,13600,0,0
Gibson,2026-08-05T07:00,0.0,0.0,1.8,12200,1,0
Gibson,2026-08-05T08:00,0.0,0.0,2.9,2700,2,0
Gibson,2026-08-05T09:00,0.0,0.0,4.3,12600,2,0
Gibson,2026-08-05T10:00,0.0,0.0,5.4,20100,0,0
Gibson,2026-08-05T11:00,0.0,0.0,6.5,30200,0,0
Gibson,2026-08-05T12:00,0.0,0.0,2.5,35500,0,0
Gibson,2026-08-05T13:00,0.0,0.0,4.0,41300,0,0
Gibson,2026-08-05T14:00,0.0,0.0,7.6,45400,0,0
Gibson,2026-08-05T15:00,0.0,0.0,4.7,49500,0,0
Gibson,2026-08-05T16:00,0.0,0.0,4.0,52400,0,0
Gibson,2026-08-05T17:00,0.0,0.0,8.3,52700,0,0
Gibson,2026-08-05T18:00,0.0,0.0,7.6,52400,2,0
Gibson,2026-08-05T19:00,0.0,0.0,9.4,52200,3,0
Gibson,2026-08-05T20:00,0.0,0.0,10.4,44400,2,0
Gibson,2026-08-05T21:00,0.0,0.0,8.6,36400,0,0
Gibson,2026-08-05T22:00,0.0,0.0,11.2,33600,0,0
Gibson,2026-08-05T23:00,0.0,0.0,14.0,28900,3,0
Gibson,2026-08-06T00:00,0.0,0.0,21.2,26500,3,0
Gibson,2026-08-06T01:00,0.0,0.0,21.2,25900,1,0
Gibson,2026-08-06T02:00,0.0,0.0,19.1,25100,3,0
Gibson,2026-08-06T03:00,0.0,0.0,19.8,23700,3,0
Gibson,2026-08-06T04:00,0.0,0.0,6.5,22200,3,0
Gibson,2026-08-06T05:00,0.0,0.0,14.0,23300,3,0
Gibson,2026-08-06T06:00,0.0,0.0,14.4,21900,1,0
Gibson,2026-08-06T07:00,0.0,0.0,18.7,21700,2,0
Gibson,2026-08-06T08:00,0.0,0.0,27.7,18200,3,0
Gibson,2026-08-06T09:00,0.0,0.0,43.2,22800,3,0
Gibson,2026-08-06T10:00,0.0,0.0,32.0,29200,3,0
Gibson,2026-08-06T11:00,0.0,0.0,26.6,37700,3,0
Gibson,2026-08-06T12:00,0.0,0.0,25.2,41500,3,0
Gibson,2026-08-06T13:00,0.0,0.0,21.2,36900,3,0
Gibson,2026-08-06T14:00,0.0,0.0,7.6,38600,3,0
Gibson,2026-08-06T15:00,0.0,0.0,7.6,39700,3,0
Gibson,2026-08-06T16:00,0.4,0.0,37.4,18700,51,0
Gibson,2026-08-06T17:00,0.0,0.0,18.4,43700,3,0
Gibson,2026-08-06T18:00,0.0,0.0,16.9,44500,3,0
Gibson,2026-08-06T19:00,0.0,0.0,15.5,42100,3,0
Gibson,2026-08-06T20:00,0.0,0.0,13.0,36600,3,0
Gibson,2026-08-06T21:00,0.0,0.0,2.5,34800,3,0
Gibson,2026-08-06T22:00,0.0,0.0,5.8,34800,3,0
Gibson,2026-08-06T23:00,0.0,0.0,9.7,31500,3,0
Hancock,2026-08-05T00:00,0.0,0.0,14.8,13800,0,0
Hancock,2026-08-05T01:00,0.0,0.0,9.0,13700,0,0
Hancock,2026-08-05T02:00,0.0,0.0,9.0,13900,0,0
Hancock,2026-08-05T03:00,0.0,0.0,8.6,14300,0,0
Hancock,2026-08-05T04:00,0.0,0.0,9.7,15100,0,0
Hancock,2026-08-05T05:00,0.0,0.0,6.8,14400,0,0
Hancock,2026-08-05T06:00,0.0,0.0,6.1,15500,0,0
Hancock,2026-08-05T07:00,0.0,0.0,3.6,14400,0,0
Hancock,2026-08-05T08:00,0.0,0.0,2.9,12200,2,0
Hancock,2026-08-05T09:00,0.0,0.0,2.5,13900,1,0
Hancock,2026-08-05T10:00,0.0,0.0,4.0,19200,0,0
Hancock,2026-08-05T11:00,0.0,0.0,6.8,26500,0,0
Hancock,2026-08-05T12:00,0.0,0.0,6.5,35800,0,0
Hancock,2026-08-05T13:00,0.0,0.0,6.1,37800,0,0
Hancock,2026-08-05T14:00,0.0,0.0,11.2,39700,0,0
Hancock,2026-08-05T15:00,0.0,0.0,11.5,41600,0,0
Hancock,2026-08-05T16:00,0.0,0.0,11.9,41900,0,0
Hancock,2026-08-05T17:00,0.0,0.0,11.5,42500,0,0
Hancock,2026-08-05T18:00,0.0,0.0,10.8,44100,0,0
Hancock,2026-08-05T19:00,0.0,0.0,12.2,42800,0,0
Hancock,2026-08-05T20:00,0.0,0.0,2.9,29400,0,0
Hancock,2026-08-05T21:00,0.0,0.0,3.6,25900,3,0
Hancock,2026-08-05T22:00,0.0,0.0,6.1,20700,3,0
Hancock,2026-08-05T23:00,0.0,0.0,6.8,20700,3,0
Hancock,2026-08-06T00:00,0.0,0.0,9.7,19400,3,0
Hancock,2026-08-06T01:00,0.0,0.0,12.6,21200,3,0
Hancock,2026-08-06T02:00,0.0,0.0,7.9,18500,3,0
Hancock,2026-08-06T03:00,0.0,0.0,4.0,18500,1,0
Hancock,2026-08-06T04:00,0.0,0.0,13.7,21300,0,0
Hancock,2026-08-06T05:00,0.0,0.0,12.2,20800,3,0
Hancock,2026-08-06T06:00,0.0,0.0,15.1,20400,3,0
Hancock,2026-08-06T07:00,0.0,0.0,14.8,19700,2,0
Hancock,2026-08-06T08:00,0.0,0.0,19.1,20800,3,0
Hancock,2026-08-06T09:00,0.0,0.0,22.3,22300,1,0
Hancock,2026-08-06T10:00,0.0,0.0,24.8,23600,3,0
Hancock,2026-08-06T11:00,0.0,0.0,24.8,24400,3,0
Hancock,2026-08-06T12:00,0.0,0.0,28.1,25700,3,0
Hancock,2026-08-06T13:00,0.0,0.0,24.5,24700,3,0
Hancock,2026-08-06T14:00,0.0,0.0,19.1,23800,3,0
Hancock,2026-08-06T15:00,0.0,0.0,4.0,26400,3,0
Hancock,2026-08-06T16:00,0.0,0.0,4.3,30100,3,0
Hancock,2026-08-06T17:00,0.0,0.0,10.1,31300,3,0
Hancock,2026-08-06T18:00,0.0,0.0,6.1,32100,3,0
Hancock,2026-08-06T19:00,0.0,0.0,10.8,33200,3,0
Hancock,2026-08-06T20:00,0.0,0.0,5.4,28100,3,0
Hancock,2026-08-06T21:00,0.0,0.0,7.9,23900,3,0
Hancock,2026-08-06T22:00,0.0,0.0,8.3,23200,3,0
Hancock,2026-08-06T23:00,0.0,0.0,7.9,23400,2,0
Huntington,2026-08-05T00:00,0.0,0.0,3.2,20000,0,0
Huntington,2026-08-05T01:00,0.0,0.0,6.8,17700,0,0
Huntington,2026-08-05T02:00,0.0,0.0,2.9,16000,0,0
Huntington,2026-08-05T03:00,0.0,0.0,9.0,13400,0,0
Huntington,2026-08-05T04:00,0.0,0.0,6.8,14700,0,0
Huntington,2026-08-05T05:00,0.0,0.0,5.8,14700,0,0
Huntington,2026-08-05T06:00,0.0,0.0,3.6,15900,0,0
Huntington,2026-08-05T07:00,0.0,0.0,5.8,13400,0,0
